frame,key_pressed
0,none
1,none
2,UP
3,none
4,none
5,none
6,none
7,none
8,none
9,RIGHT
10,none
11,none
12,none
13,none
14,none
15,none
16,none
17,none
18,none
19,none
20,none
21,none
22,none
23,none
24,none
25,DOWN
26,none
27,none
28,none
29,none
30,none
31,none
32,none
33,none
34,none
35,none
36,none
37,none
38,none
39,LEFT
40,none
41,none
42,none
43,none
44,none
45,none
46,none
47,none
48,none
49,none
50,none
51,none
52,UP
53,none
54,LEFT
55,none
56,none
57,none
58,none
59,none
60,DOWN
61,none
62,none
63,none
64,none
65,none
66,none
67,none
68,none
69,RIGHT
70,none
71,none
72,none
73,none
74,none
75,none
76,UP
77,none
78,none
79,none
80,none
81,none
82,none
83,LEFT
84,none
85,none
86,none
87,none
88,UP
89,RIGHT
90,none
91,none
92,none
93,none
94,none
95,none
96,DOWN
97,none
98,none
99,none
100,none
101,LEFT
102,none
103,none
104,none
105,none
106,none
107,none
108,none
109,none
110,none
111,none
112,none
113,none
114,none
115,none
116,none
117,none
118,none
119,none
120,none
121,UP
122,none
123,none
124,none
125,none
126,none
127,none
128,none
129,none
130,none
131,none
132,none
133,none
134,none
135,LEFT
136,none
137,none
138,none
139,none
140,none
141,DOWN
142,RIGHT
143,none
144,none
145,none
146,none
147,none
148,none
149,none
150,none
151,none
152,none
153,none
154,none
155,none
156,none
157,none
158,none
159,none
160,none
161,none
162,none
163,none
164,none
165,none
166,none
167,DOWN
168,none
169,none
170,none
171,none
172,none
173,none
174,none
175,LEFT
176,none
177,none
178,none
179,none
180,DOWN
181,none
182,none
183,none
184,none
185,RIGHT
186,none
187,none
188,none
189,none
190,none
191,none
192,none
193,DOWN
194,LEFT
195,none
196,none
197,none
198,none
199,none
200,none
201,none
202,none
203,UP
204,none
205,none
206,LEFT
207,none
208,none
209,none
210,none
211,none
212,none
213,none
214,none
215,none
216,none
217,none
218,UP
219,none
220,none
221,none
222,none
223,none
224,none
225,none
226,none
227,none
228,none
229,none
230,LEFT
231,none
232,none
233,none
234,none
235,none
236,none
237,none
238,none
239,UP
240,RIGHT
241,none
242,none
243,none
244,none
245,none
246,none
247,none
248,none
249,none
250,none
251,none
252,none
253,none
254,none
255,DOWN
256,none
257,none
258,none
259,none
260,none
261,none
262,none
263,none
264,RIGHT
265,none
266,none
267,none
268,none
269,none
270,none
271,none
272,none
273,none
274,none
275,none
276,none
277,none
278,none
279,none
280,DOWN
281,LEFT
282,none
283,none
284,none
285,none
286,none
287,none
288,none
289,none
290,none
291,none
292,none
293,none
294,none
295,none
296,none
297,none
298,none
299,none
300,none
301,none
302,none
303,UP
304,none
305,RIGHT
306,none
307,none
308,none
309,none
310,none
311,none
312,none
313,none
314,none
315,none
316,none
317,none
318,UP
319,none
320,none
321,none
322,none
323,none
324,none
325,none
326,none
327,none
328,none
329,none
330,none
331,none
332,none
333,none
334,LEFT
335,none
336,none
337,none
338,none
339,none
340,DOWN
341,none
342,none
343,none
344,none
345,RIGHT
346,none
347,none
348,none
349,none
350,none
351,none
352,none
353,none
354,none
355,DOWN
356,none
357,none
358,none
359,none
360,none
361,LEFT
362,none
363,none
364,none
365,none
366,UP
367,none
368,RIGHT
369,none
370,none
371,none
372,none
373,none
374,none
375,none
376,none
377,none
378,none
379,none
380,none
381,DOWN
382,none
383,none
384,none
385,none
386,none
387,none
388,none
389,none
390,none
391,none
392,none
393,none
394,none
395,none
396,none
397,none
398,RIGHT
399,none
400,none
401,none
402,none
403,UP
404,none
405,none
406,none
407,none
408,none
409,none
410,none
411,none
412,LEFT
413,none
414,none
415,none
416,none
417,none
418,none
419,none
420,none
421,none
422,none
423,none
424,none
425,none
426,none
427,none
428,none
429,none
430,none
431,none
432,none
433,none
434,none
435,none
436,none
437,none
438,none
439,none
440,none
441,none
442,none
443,UP
444,none
445,RIGHT
446,none
447,none
448,DOWN
